,bigram,counts
0,"('blockchain', 'technology')",25
1,"('smart', 'contract')",25
2,"('blockchain', 'system')",14
3,"('future', 'research')",13
4,"('systematization', 'knowledge')",12
5,"('decentralized', 'finance')",11
6,"('research', 'direction')",10
7,"('lending', 'pool')",8
8,"('consensus', 'protocol')",7
9,"('finance', 'defi')",7
15,"('automated', 'market')",6
18,"('blockchain', 'metaverse')",6
17,"('recent', 'year')",6
16,"('market', 'maker')",6
12,"('cryptographic', 'concept')",6
14,"('security', 'privacy')",6
13,"('layer-two', 'protocol')",6
11,"('machine', 'replication')",6
10,"('state', 'machine')",6
25,"('maker', 'amm')",5
29,"('blockchain', 'interoperability')",5
28,"('digital', 'forensics')",5
27,"('yield', 'farming')",5
26,"('application', 'blockchain')",5
20,"('distributed', 'system')",5
24,"('open', 'research')",5
23,"('research', 'challenge')",5
22,"('distributed', 'ledger')",5
21,"('blockchain', 'ecosystem')",5
19,"('best', 'knowledge')",5
40,"('blockchain', 'security')",4
49,"('repeated', 'consensus')",4
48,"('finance', 'sector')",4
47,"('banking', 'finance')",4
46,"('transfer', 'asset')",4
45,"('use', 'case')",4
44,"('privacy', 'issue')",4
43,"('future', 'direction')",4
42,"('decentralized', 'application')",4
41,"('cross-chain', 'communication')",4
37,"('body', 'research')",4
39,"('solution', 'finally')",4
36,"('off-chain', 'transaction')",4
35,"('financial', 'system')",4
34,"('open', 'challenge')",4
33,"('provide', 'systematization')",4
32,"('payment', 'system')",4
31,"('systematic', 'comprehensive')",4
30,"('bft', 'consensus')",4
38,"('protocol', 'along')",4
82,"('first', 'present')",3
85,"('security', 'guarantee')",3
84,"('finally', 'discus')",3
83,"('general', 'design')",3
78,"('payment', 'state')",3
81,"('work', 'blockchain')",3
80,"('layer-two', 'solution')",3
79,"('state', 'channel')",3
87,"('light', 'client')",3
77,"('built', 'top')",3
86,"('third', 'party')",3
92,"('exchange', 'dexs')",3
88,"('existing', 'protocol')",3
89,"('system', 'security')",3
90,"('integral', 'part')",3
91,"('decentralized', 'exchange')",3
93,"('ledger', 'technology')",3
94,"('technology', 'dlt')",3
95,"('auction', 'model')",3
96,"('research', 'innovation')",3
97,"('existing', 'solution')",3
98,"('challenge', 'future')",3
75,"('service', 'however')",3
76,"('high', 'latency')",3
50,"('cryptographic', 'primitive')",3
74,"('existing', 'system')",3
61,"('potential', 'research')",3
51,"('solution', 'blockchain')",3
52,"('two', 'major')",3
53,"('property', 'system')",3
54,"('provide', 'first')",3
55,"('scattered', 'body')",3
56,"('consensus', 'mechanism')",3
57,"('important', 'role')",3
58,"('application', 'domain')",3
59,"('paper', 'conduct')",3
60,"('conduct', 'systematic')",3
62,"('research', 'gap')",3
73,"('identify', 'future')",3
63,"('based', 'finding')",3
64,"('ethereum', 'blockchain')",3
65,"('transaction', 'load')",3
66,"('user', 'transaction')",3
67,"('transaction', 'reordering')",3
68,"('defi', 'ecosystem')",3
69,"('blockchain', 'governance')",3
70,"('blockchain', 'platform')",3
71,"('grey', 'literature')",3
72,"('level', 'decentralization')",3
99,"('public', 'ledger')",3
