,bigram,counts
0,"('decentralized', 'finance')",5
2,"('distributed', 'ledger')",3
1,"('smart', 'contract')",3
7,"('blockchain', 'system')",2
11,"('stablecoin', 'design')",2
9,"('classification', 'framework')",2
8,"('ledger', 'technology')",2
10,"('framework', 'stablecoin')",2
6,"('blockchain', 'decentralization')",2
5,"('finance', 'defi')",2
4,"('finance', 'decentralized')",2
3,"('blockchain', 'era')",2
67,"('dag-based', 'blockchain')",1
75,"('lending', 'pool')",1
74,"('ledger', 'lending')",1
73,"('across', 'distributed')",1
72,"('communication', 'across')",1
71,"('contract', 'communication')",1
70,"('confidential', 'smart')",1
69,"('tee-assisted', 'confidential')",1
68,"('system', 'tee-assisted')",1
61,"('solution', 'blockchains')",1
66,"('diving', 'dag-based')",1
65,"('client', 'diving')",1
64,"('light', 'client')",1
63,"('blockchain', 'light')",1
62,"('blockchains', 'blockchain')",1
77,"('defi', 'decentralized')",1
60,"('scaling', 'solution')",1
59,"('bridge', 'scaling')",1
58,"('validating', 'bridge')",1
76,"('pool', 'decentralized')",1
83,"('maker', 'amm')",1
78,"('decentralized', 'exchange')",1
79,"('exchange', 'dex')",1
98,"('metaverse', 'blockchain')",1
97,"('blockchain', 'metaverse')",1
96,"('system', 'blockchain')",1
95,"('e-voting', 'system')",1
94,"('based', 'e-voting')",1
93,"('blockchain', 'based')",1
92,"('challenge', 'blockchain')",1
91,"('applications,', 'challenge')",1
90,"('survey,', 'applications,')",1
89,"('model', 'survey,')",1
88,"('auction', 'model')",1
87,"('meet', 'auction')",1
86,"('blockchain', 'meet')",1
85,"('protocol', 'blockchain')",1
84,"('amm', 'protocol')",1
56,"('sharding', 'blockchain')",1
82,"('market', 'maker')",1
81,"('automated', 'market')",1
80,"('dex', 'automated')",1
57,"('blockchain', 'validating')",1
50,"('stratified', 'approach')",1
55,"('protocol', 'sharding')",1
54,"('blockchain', 'protocol')",1
30,"('transparent', 'dishonesty')",1
29,"('system', 'transparent')",1
28,"('payment', 'system')",1
27,"('distributed', 'payment')",1
26,"('accountability', 'distributed')",1
25,"('auditability', 'accountability')",1
24,"('blockchains', 'auditability')",1
23,"('age', 'blockchains')",1
22,"('consensus', 'age')",1
21,"('bft', 'consensus')",1
20,"('understanding', 'bft')",1
19,"('cryptocurrencies', 'understanding')",1
18,"('bitcoin', 'cryptocurrencies')",1
17,"('challenge', 'bitcoin')",1
16,"('perspective', 'challenge')",1
15,"('research', 'perspective')",1
14,"('era', 'research')",1
13,"('computing', 'blockchain')",1
12,"('privacy-preserving', 'computing')",1
31,"('dishonesty', 'front-running')",1
32,"('front-running', 'attack')",1
33,"('attack', 'blockchain')",1
44,"('manipulation', 'decentralized')",1
53,"('layer-two', 'blockchain')",1
52,"('decentralization', 'layer-two')",1
51,"('approach', 'blockchain')",1
49,"('decentralization', 'stratified')",1
48,"('governance', 'blockchain')",1
47,"('blockchain', 'governance')",1
46,"('incident', 'blockchain')",1
45,"('defi', 'incident')",1
43,"('reordering', 'manipulation')",1
34,"('blockchain', 'mitigation')",1
42,"('transaction', 'reordering')",1
41,"('preventing', 'transaction')",1
40,"('blockchain', 'preventing')",1
39,"('cryptography', 'blockchain')",1
38,"('used', 'cryptography')",1
37,"('finance', 'used')",1
36,"('front-running', 'decentralized')",1
35,"('mitigation', 'front-running')",1
99,"('blockchain', 'future')",1
