,bigram,counts
0,"('smart', 'contract')",25
1,"('blockchain', 'technology')",24
2,"('blockchain', 'system')",14
3,"('systematization', 'knowledge')",12
4,"('future', 'research')",12
5,"('decentralized', 'finance')",11
6,"('research', 'direction')",9
7,"('lending', 'pool')",8
8,"('consensus', 'protocol')",7
9,"('finance', 'defi')",7
14,"('security', 'privacy')",6
17,"('recent', 'year')",6
16,"('market', 'maker')",6
15,"('automated', 'market')",6
18,"('blockchain', 'metaverse')",6
13,"('layer-two', 'protocol')",6
11,"('machine', 'replication')",6
10,"('state', 'machine')",6
12,"('cryptographic', 'concept')",6
23,"('open', 'research')",5
27,"('digital', 'forensics')",5
25,"('application', 'blockchain')",5
24,"('maker', 'amm')",5
26,"('yield', 'farming')",5
22,"('research', 'challenge')",5
21,"('blockchain', 'ecosystem')",5
20,"('distributed', 'system')",5
19,"('best', 'knowledge')",5
37,"('blockchain', 'security')",4
45,"('repeated', 'consensus')",4
44,"('finance', 'sector')",4
43,"('banking', 'finance')",4
42,"('transfer', 'asset')",4
41,"('privacy', 'issue')",4
40,"('future', 'direction')",4
39,"('decentralized', 'application')",4
38,"('cross-chain', 'communication')",4
36,"('protocol', 'along')",4
34,"('off-chain', 'transaction')",4
33,"('financial', 'system')",4
32,"('distributed', 'ledger')",4
31,"('provide', 'systematization')",4
30,"('payment', 'system')",4
29,"('systematic', 'comprehensive')",4
35,"('body', 'research')",4
28,"('bft', 'consensus')",4
73,"('built', 'top')",3
80,"('solution', 'finally')",3
84,"('light', 'client')",3
83,"('third', 'party')",3
82,"('security', 'guarantee')",3
81,"('finally', 'discus')",3
77,"('work', 'blockchain')",3
79,"('general', 'design')",3
78,"('first', 'present')",3
86,"('system', 'security')",3
76,"('layer-two', 'solution')",3
75,"('state', 'channel')",3
85,"('existing', 'protocol')",3
90,"('auction', 'model')",3
87,"('integral', 'part')",3
88,"('decentralized', 'exchange')",3
89,"('exchange', 'dexs')",3
91,"('research', 'innovation')",3
92,"('public', 'ledger')",3
93,"('much', 'attention')",3
94,"('shed', 'light')",3
95,"('play-to-earn', 'project')",3
96,"('security', 'vulnerability')",3
97,"('cryptocurrency', 'system')",3
98,"('paper', 'systematically')",3
74,"('payment', 'state')",3
50,"('provide', 'first')",3
72,"('high', 'latency')",3
58,"('research', 'gap')",3
46,"('cryptographic', 'primitive')",3
47,"('solution', 'blockchain')",3
48,"('two', 'major')",3
49,"('property', 'system')",3
51,"('scattered', 'body')",3
52,"('consensus', 'mechanism')",3
53,"('important', 'role')",3
54,"('application', 'domain')",3
55,"('paper', 'conduct')",3
56,"('conduct', 'systematic')",3
57,"('potential', 'research')",3
59,"('based', 'finding')",3
71,"('service', 'however')",3
60,"('ethereum', 'blockchain')",3
61,"('transaction', 'load')",3
62,"('open', 'challenge')",3
63,"('user', 'transaction')",3
64,"('transaction', 'reordering')",3
65,"('defi', 'ecosystem')",3
66,"('blockchain', 'governance')",3
67,"('blockchain', 'platform')",3
68,"('level', 'decentralization')",3
69,"('identify', 'future')",3
70,"('existing', 'system')",3
99,"('disruptive', 'technology')",3
